269982;16848;10671;;148712;13054;7605;;287485;16650;10545;;100371;12171;3259;;271495;16929;10741;;89741;8952;3337;;284650;16659;10557;;140727;11727;7474;;267077;16848;10625;;147320;12952;7545;;285170;16731;10592;;107524;9645;4308;;271224;16884;10658;;133583;11135;7150;;275212;16740;10517;;141689;11127;4838;;327782;16866;10603;;104778;6627;4013;;585403;15282;9626;;328253;10367;6469;;
286944;17136;10844;;91223;9652;3115;;302293;17640;11148;;156657;14293;7758;;278338;17307;10918;;88668;9146;3108;;251698;16245;10174;;158140;10775;7472;;272026;16965;10640;;146227;14267;6889;;293697;17541;11191;;85161;6347;3378;;280031;17217;10900;;98346;7540;4414;;269901;16920;10655;;4107470;12025;4317;;285331;17361;11038;;84941;7318;3183;;305890;17460;11084;;59463;5795;1885;;
255244;16344;10293;;159112;16241;7443;;314546;16623;10424;;128863;12423;6052;;289729;18198;11474;;118084;12177;5282;;2227515;18000;11382;;90401;8580;4237;;284149;18036;11387;;125207;12368;6105;;324265;17991;11308;;71836;7655;2694;;278128;17640;11070;;161006;13605;9180;;2282038;18198;11521;;140396;16408;5918;;294989;18171;11460;;76726;7410;2546;;292775;18126;11435;;103286;10326;4588;;
288126;17838;11200;;162979;16335;7675;;293847;17100;10760;;186334;15681;10772;;284289;18099;11310;;132721;10347;7949;;305980;18918;11984;;106572;10324;3592;;299318;18801;11877;;120248;15179;4563;;298637;18162;11401;;137250;10427;7229;;294068;18540;11715;;131790;11714;6937;;8233805;18486;11688;;129877;11376;6235;;299618;18738;11869;;144053;11030;6301;;296863;18585;11703;;125828;10415;6692;;
295310;18558;11633;;153100;12748;7681;;306101;19026;11976;;100741;10560;4964;;287275;18261;11503;;136348;9230;5687;;311200;19188;12087;;93828;7098;3733;;315007;19647;12441;;124695;11273;4236;;307122;18936;11956;;164142;17850;7635;;4299023;18720;11798;;129927;10330;6276;;296643;18639;11801;;91132;9140;2859;;324034;18936;11924;;138823;13207;6318;;275142;17487;10983;;94830;8041;3982;;
325888;20052;12628;;120980;10336;5131;;339504;19692;12469;;115449;11048;5202;;292585;18900;11843;;120188;10173;4719;;321179;19521;12262;;117994;10409;4570;;311361;19719;12394;;76966;7006;2662;;330116;19674;12361;;89059;7119;3784;;323894;20052;12651;;185562;20625;9029;;314245;19845;12510;;139314;14411;5717;;346978;18954;11895;;108336;10065;3714;;307293;19197;12134;;132030;13790;6089;;
324285;20241;12725;;114607;8750;5710;;317562;20250;12725;;114347;8729;6506;;279720;18162;11347;;2194372;15079;8351;;332110;20349;12874;;130297;10685;6312;;338853;20079;12729;;168800;17361;8085;;327701;20331;12764;;141148;13426;7600;;322492;20070;12626;;131530;13482;4720;;341107;20250;12721;;203646;19301;11665;;327030;20340;12855;;84490;7449;2797;;2219450;19224;12046;;179711;15522;9609;;
338402;20880;13192;;104779;8891;4462;;327441;20718;13079;;148161;14300;7450;;293767;18648;11653;;139244;8900;4623;;327130;20826;13190;;201672;18472;11481;;337349;20853;13122;;100861;10986;3515;;324987;20646;12973;;136228;10101;6603;;346978;20826;13134;;122862;10662;6181;;307583;19305;12075;;5151710;15629;8691;;332080;20826;13134;;102514;8591;3723;;321570;18900;11823;;139905;12210;5905;;
336108;21195;13303;;169982;15976;8543;;344834;21843;13786;;166817;14467;8304;;352709;21456;13508;;115619;10066;4607;;329144;20493;12843;;112754;10555;5044;;8587196;21321;13365;;154272;12774;6892;;349723;21132;13353;;153781;13381;7047;;342029;21447;13485;;123995;11295;4965;;340586;21573;13591;;127121;10518;5295;;353610;21249;13324;;153691;12113;7676;;313464;19818;12427;;164231;17926;6613;;
383858;22329;13993;;158250;14345;7131;;347078;21924;13784;;141989;14181;5415;;349964;21969;13803;;166916;15311;7465;;378558;21726;13647;;136679;10857;5997;;349432;22059;13871;;1210746;14375;10374;;338061;21060;13152;;204799;17036;11532;;162058;9315;5720;;135186;11320;5369;;316881;20286;12648;;156577;16244;6197;;3109217;22140;13991;;157128;16222;7628;;353500;21978;13796;;170654;16031;7612;;
