2900;;15624;9938;258791;;4688;1936;55185;;15957;10192;268349;;13673;6214;131690;;15408;9642;241278;;9307;2881;94088;;16209;10263;260214;;11330;4212;127021;;15336;9617;278579;;8276;3459;4098913;;15120;9481;261667;;7522;4075;89430;;15732;9944;284250;;7889;4908;103697;;15417;9703;248382;;11008;5485;107585;;15822;9965;7347942;;9140;6204;113676;;15426;9702;243793;;8042;6158;125067;;
3000;;16380;10399;267668;;11846;6775;157188;;15345;9605;248751;;11765;2504;89299;;16389;10350;267367;;8308;4093;102575;;16533;10447;263240;;9612;4121;105991;;16317;10304;303166;;10579;5854;122593;;16263;10287;265885;;12046;8722;142200;;16443;10389;264271;;10180;6399;126389;;16434;10422;267067;;9396;6005;117654;;16461;10408;263620;;10181;4188;109047;;16389;10336;279521;;5529;2869;66246;;
3100;;16722;10554;294800;;15927;10717;184491;;15498;9776;1644262;;7571;2760;77698;;17100;10840;296523;;11921;7599;138553;;16317;10282;275893;;11564;4328;111682;;16155;10121;275413;;10451;6438;157770;;16956;10717;317212;;14782;7309;142340;;16488;10321;288859;;17317;11055;185923;;16452;10338;279791;;6218;2023;63260;;16785;10584;265564;;9065;3934;91294;;16569;10420;410068;;8150;3810;146608;;
3200;;17694;11172;284510;;5642;2031;62328;;17190;10820;325598;;9308;3780;130478;;17244;10871;2524453;;9990;6795;131089;;16506;10343;284020;;10446;4004;124506;;17514;11005;285112;;13144;3325;107534;;17262;10867;321711;;20654;6319;159703;;17514;11028;276214;;9035;5459;103387;;17442;11020;276906;;6977;4263;105651;;17433;11053;287937;;12268;6851;142601;;17379;10961;276586;;8109;5574;107003;;
3300;;18198;11510;333975;;7912;4295;102044;;18027;11303;289941;;5414;3540;72577;;18234;11539;345165;;16362;8429;169102;;16344;10220;277337;;10380;5947;119978;;17811;11297;293718;;11068;6063;128894;;18378;11554;287336;;13674;4158;121461;;17847;11195;300580;;12134;8231;143793;;17820;11276;283949;;12029;8118;149153;;18144;11425;3833308;;7421;4162;98367;;17829;11272;284180;;6612;4360;88879;;
3400;;17946;11150;292516;;12295;6631;129727;;16911;10585;262589;;13611;8004;149734;;18117;11443;292235;;9708;2919;91203;;18549;11710;298767;;13288;5834;137421;;18729;11834;306993;;10513;5890;121341;;18594;11681;312503;;9362;6089;122552;;18342;11607;293347;;10404;3924;110149;;17757;11178;309307;;9482;5010;120288;;18252;11499;293918;;6597;4651;101312;;18207;11456;344534;;7427;3991;94850;;
3500;;19323;12162;318304;;18646;12693;198657;;18873;11796;315289;;6698;2093;65624;;18765;11822;310359;;11806;4535;115800;;19314;12234;328995;;17009;9623;176645;;19098;11962;307513;;6894;3942;138644;;19431;12300;327822;;14107;6903;146418;;19152;12057;308997;;12740;6229;159173;;19080;12056;301542;;11861;6728;137441;;18693;11747;301332;;9495;5380;123996;;18810;11870;315629;;6282;3556;82547;;
3600;;19872;12590;351798;;17385;9990;184099;;19674;12349;314467;;12364;7871;2676783;;19665;12363;313635;;15031;2883;106833;;19809;12537;320238;;11930;4429;125919;;19260;12133;313215;;7874;3892;101593;;19773;12475;324846;;8169;3402;101532;;19638;12338;311090;;8171;4528;102394;;19422;12227;5379845;;6993;3690;93889;;19620;12320;362298;;10683;4681;114388;;19683;12411;308586;;12401;6625;141078;;
3700;;20232;12827;329867;;17264;8063;173209;;20376;12826;322292;;19134;10201;198176;;19953;12599;316461;;12276;6880;135758;;20187;12644;316531;;10493;5452;116511;;18963;11853;301322;;11597;8296;151197;;20250;12731;2323832;;10169;5593;126210;;20142;12722;321590;;11959;7309;141659;;20178;12625;318705;;8868;5680;114538;;20304;12754;329666;;15014;6719;153721;;20538;12878;330688;;12658;7734;864271;;
3800;;20781;13129;351849;;11497;7329;142511;;20799;13074;340947;;12316;5322;136409;;21087;13172;345887;;14256;7968;156727;;21006;13262;361366;;17960;6373;161006;;21240;13378;371826;;10302;4973;124356;;20772;13029;384290;;13796;5272;137211;;20484;12868;545536;;16626;9948;285903;;20988;13219;354132;;7330;4478;98838;;20619;12992;364122;;9734;4443;116401;;20520;12882;337641;;11305;3725;106843;;
3900;;21177;13318;344244;;7440;2835;82938;;21420;13430;369772;;16416;8474;174481;;21114;13229;330327;;14942;11567;188368;;21582;13601;346377;;16836;7761;165744;;21528;13564;4117428;;10675;8440;172638;;21627;13549;344975;;14376;4558;131520;;21465;13461;373339;;8368;3153;90712;;20817;13043;355765;;11375;6174;141047;;21618;13640;3977302;;8431;4315;115209;;21546;13514;344103;;13588;8285;2175311;;
4000;;22005;13855;355695;;16951;11848;223564;;22023;13816;346528;;10182;7317;142761;;21861;13747;368038;;13560;8073;164142;;22140;13870;5306535;;10505;7022;135768;;21591;13498;343683;;13265;7721;159523;;20268;12763;320418;;13562;8769;166797;;22347;13977;364682;;10962;5225;123986;;22005;13864;347710;;8493;5239;129646;;21303;13292;341749;;12008;7077;153040;;22185;13844;363090;;8967;3978;114788;;
